No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
287,Ramesh’s salary was reduced by 10% and then the reduced salary was increased by 10%. What was his ultimate loss?,a. 0%,b. 10%,c. 1%,d. 5%,c,"Let's assume Ramesh's original salary is 100 units.
Step 1: His salary is reduced by 10%, which means it becomes 90% of the original salary.
Step 2: The reduced salary is increased by 10%, which means it becomes 110% of the reduced salary.
Now, let's calculate the final salary:
Final Salary = (110% of 90% of the original salary)
Final Salary = (110/100) * (90/100) * 100
Final Salary = (99/100) * 100
Final Salary = 99
So, Ramesh's ultimate salary is 99 units.
Now, let's calculate the percentage loss:
Percentage Loss = [(Original Salary - Final Salary) / Original Salary] * 100
Percentage Loss = [(100 - 99) / 100] * 100
Percentage Loss = (1/100) * 100
Percentage Loss = 1%
Ramesh's ultimate loss is 1%.
Answer: (c) 1%"
288,5% of 5% of Rs. 100 is,a. rs. 0.25,b. rs. 0.50,c. rs. 10,d. rs. 25,a,
289,person sold a stove for Rs. 423 and incurred a loss of 6%. At what price would it be sold so as to earn a profit of 8%?,a. rs. 525,b. rs. 500,c. rs. 490,d. rs. 486,d,"Let ""C"" be the cost price of the stove.
Since the person incurred a loss of 6%, the selling price (Rs. 423) is 94% of the cost price (C). This is because:
100% - 6% = 94%
Now, let's calculate the cost price (C):
0.94C = 423
C = 423 / 0.94
C ≈ 450
So, the cost price of the stove is approximately Rs. 450.
To find the selling price needed to earn a profit of 8%, we calculate 108% of the cost price:
108% of Rs. 450 = (108/100) * 450 = Rs. 486
Therefore, the stove should be sold for Rs. 486 to earn a profit of 8%.
Answer: (d) Rs. 486"
290,A fruit seller buys lemons at 2 for a rupee and sells then at 5 for three rupees. His gain percent is,a. 10%,b. 15%,c. 20%,d. 25%,c,"Let's calculate the cost price (C.P.) and selling price (S.P.) of lemons.
Cost Price (C.P.): The seller buys 2 lemons for one rupee, so the cost of one lemon is (1/2) rupee or 50 paise.
Selling Price (S.P.): The seller sells 5 lemons for three rupees, so the selling price of one lemon is (3/5) rupee or 60 paise.
Now, let's calculate the profit:
Profit = S.P. - C.P.
Profit = (60 paise) - (50 paise)
Profit = 10 paise
To find the gain percent, we use the formula:
Gain Percent = (Profit / C.P.) * 100
Gain Percent = (10 paise / 50 paise) * 100
Gain Percent = (1/5) * 100"
291,"A sells a car to B at 10% loss. If B sells it for Rs. 54000 and gains 20%, the cost price of the car for A was",a. rs. 25000,b. rs. 50000,c. rs. 37500,d. rs. 60000,d,"Let the cost price (C.P.) of the car for A be X.
A sells the car to B at a 10% loss, which means B buys it for 90% of the cost price:
Selling Price (S.P.) to B = 90% of X = 0.9X
B sells the car for Rs. 54,000 and gains 20%, which means the selling price by B is 120% of the cost price:
S.P. by B = 120% of X = 1.2X
Given that S.P. by B is Rs. 54,000, we can equate the two expressions for S.P. to find the value of X:
0.9X = 1.2X = Rs. 54,000
Now, let's solve for X:
0.3X = Rs. 54,000
X = Rs. 54,000 / 0.3
X = Rs. 180,000
So, the cost price of the car for A was Rs. 180,000.
Answer: (d) Rs. 60,000"
292,"Ramesh sold a statue for a price 25% higher than the original price of the statue. He had however bought the statue at 20% discount on the original price. With the profit of Rs. 2025, find the original price of the statue.",a. rs. 6000,b. rs. 7500,c. rs. 3500,d. rs. 4500,b,"Let the original price of the statue be Rs. X.
Ramesh bought the statue at a 20% discount, which means he paid 80% of the original price:
Cost Price (C.P.) = 80% of X = 0.8X
Ramesh sold the statue for a price 25% higher than the original price, which means he sold it for 125% of the original price:
Selling Price (S.P.) = 125% of X = 1.25X
Given that Ramesh made a profit of Rs. 2,025, we can set up the equation:
Profit = S.P. - C.P.
Profit = (1.25X - 0.8X)
Profit = 0.45X
We know that Profit = Rs. 2,025, so:
0.45X = 2,025
Now, let's solve for X:
X = 2,025 / 0.45
X = Rs. 4,500
The original price of the statue was Rs. 4,500.
Answer: (b) Rs. 4,500"
293,"If selling price of 40 articles is equal to cost price of 50 articles, the loss or gain percent is",a. 25% loss,b. 20% loss,c. 25% gain,d. 20% gain,a,"To calculate the loss or gain percent, we need to compare the selling price and the cost price.
Let the cost price of each article be ""C"" and the selling price of each article be ""S.""
Given that selling price of 40 articles is equal to the cost price of 50 articles, we can write it as:
40S = 50C
Now, let's calculate the ratio of selling price (40S) to cost price (50C):
(40S) / (50C) = (4S) / (5C)
This ratio represents the loss or gain percent. If (4S) / (5C) is less than 1, it's a loss; if it's greater than 1, it's a gain.
So, the loss or gain percent is (4S) / (5C).
Answer: (a) 25% loss"
294,"Two bicycles were sold for Rs. 3990 each, gaining 5% on one and losing 5% on the other. The gain or loss percent on the whole transaction is",a. neither gain nor loss,b. 2.5% gain,c. 2.5% loss,d. 0.25% loss,d,"Let C.P. of each bicycle be Rs. X.
S.P. of one bicycle = 1.05 X
S.P. of another bicycle = 0.95 X
Total S.P. = 1.05 X + 0.95 X = 2 X
Total C.P. = 2 X
Gain or loss % = (Total S.P. - Total C.P.)/Total C.P. * 100
= (2 X - 2 X)/2 X * 100 = 0%. The answer is 0%."
295,The ratio of cost price and selling price is 4:5. The profit percent is,a. 10%,b. 20%,c. 25%,d. 30%,c,"Let the cost price (C.P.) be 4 units, and the selling price (S.P.) be 5 units.
Profit = S.P. - C.P. = 5 - 4 = 1 unit
To find the profit percent, divide the profit by the cost price and multiply by 100:
Profit Percent = (Profit / C.P.) * 100
Profit Percent = (1 / 4) * 100
Profit Percent = 25%
So, the profit percent is 25%.
Answer: (c) 25%"
296,"If a person sells a ‘sari’ for Rs. 5200, making a profit of 30%, then the cost price of the sari is",a. rs. 4420,b. rs. 4000,c. rs. 3900,d. rs. 3800,b,"To find the cost price (CP), you need to understand that the selling price (SP) is equal to the CP plus the profit. The formula for this relationship is:
SP = CP + Profit
Given that SP = Rs. 5200 and the profit is 30% of the CP, you can calculate the CP as follows:
CP = SP / (1 + Profit Percentage)
CP = 5200 / (1 + 30/100)
CP = 5200 / 1.30
CP = Rs. 4000"
297,A shopkeeper earns a profit of 15% after selling a book at 20% discount on the printed price. The ratio of the cost price and printed price of the book is?,a. 20:23,b. 23:20,c. 16:23,d. 23:16,c,"Let the printed price of the book be PP, and the cost price be CP. According to the given information, the shopkeeper sells the book at a 20% discount, which means the selling price (SP) is 80% of the printed price (PP). The profit is 15%, so the selling price is 115% of the cost price (CP). Therefore, we have:
SP = 0.8 * PP
SP = 1.15 * CP
You can set up a proportion to find the ratio of CP to PP:
CP / PP = (1.15 * CP) / (0.8 * PP)
CP / PP = (1.15 / 0.8)
CP / PP = 1.4375
To get this in the form of a ratio, you can express 1.4375 as 16/23, which means the ratio of CP to PP is 16:23."
298,Simran bought pet food worth Rs. 56000. She then sold 1/3rd of it incurring a loss of 40%. What profit she must earn on rest of the supplies to nullify this loss?,a. 25%,b. 20%,c. 45%,d. 50%,b,"Simran incurred a 40% loss on 1/3 of the supplies. To nullify this loss, she needs to make a profit of 40% on the remaining 2/3 of the supplies. To find the profit percentage needed to nullify the loss, you can calculate it as follows:
Required Profit Percentage = (Loss Percentage / Lossed Portion) * Remaining Portion
Required Profit Percentage = (40% / (1/3)) * (2/3)
Required Profit Percentage = (40% / (1/3)) * (2/3)
Required Profit Percentage = (40% / (1/3)) * (2/3)
Required Profit Percentage = (40% / (1/3)) * (2/3)
Required Profit Percentage = (40% / (1/3)) * (2/3)
Required Profit Percentage = 120% * (2/3)
Required Profit Percentage = 80%"
299,Ramesh gets a profit of 20% in one trade and suffers a loss of 20% in the second when he sells 2 cycles for Rs. 4000 each. What is his profit or loss in the entire trade?,a. loss = 4%,b. loss = 16%,c. profit = 16%,d. profit = 4%,a,"Ramesh sells 2 cycles for Rs. 4000 each in two trades. In the first trade, he makes a profit of 20%, so the selling price for the first cycle is 120% of its cost price. In the second trade, he incurs a loss of 20%, so the selling price for the second cycle is 80% of its cost price.
To find the overall profit or loss, you can calculate it as follows:
Total Selling Price = Selling Price of 1st Cycle + Selling Price of 2nd Cycle
Total Selling Price = (120% of Cost Price) + (80% of Cost Price)
Total Selling Price = (120/100) * Cost Price + (80/100) * Cost Price
Total Selling Price = (200/100) * Cost Price
Total Selling Price = 2 * Cost Price
Now, Ramesh sells two cycles for Rs. 4000 each, so the total selling price is Rs. 4000 + Rs. 4000 = Rs. 8000.
To calculate the profit or loss percentage:
Profit or Loss Percentage = [(Total Selling Price - Total Cost Price) / Total Cost Price] * 100%
Profit or Loss Percentage = [(Rs. 8000 - Rs. 8000) / Rs. 8000] * 100%
Profit or Loss Percentage = [(0 / Rs. 8000) * 100%] = 0%
Ramesh neither makes a profit nor incurs a loss; his overall profit or loss is 0%, which means no profit or loss."
300,Guddi buys some oranges in a shop at 4 per rupee. She goes to other shop and buys same number of oranges at 5 per rupee. She then combines them in a basket and sells them at 4 per rupee. Will she get a profit or loss? And how much?,a. profit = 100/9 %,b. loss = 100/9 %,c. profit = 116/9 %,d. loss = 116/9 %,c,"Guddi buys oranges at different rates and combines them to sell at a single rate. To determine if she makes a profit or incurs a loss, you can calculate the overall profit or loss percentage.
Let's assume Guddi buys 4 oranges at Shop 1 for 1 rupee each, and she buys 5 oranges at Shop 2 for 1 rupee each. So, she spends 4 rupees at Shop 1 and 5 rupees at Shop"
301,"Chaman sells 40 fans at 10% profit. He wants a total of 20% profit on the entire sale. Since he got 160 fans at rate of Rs. 100 each, at what profit must he sell the remaining fans?",a. 70/3%,b. 160/58%,c. 30%,d. 100/3%,b,"Chaman initially sells 40 fans at a 10% profit. To achieve a total of 20% profit on the entire sale, he needs to sell the remaining fans at a higher profit. The profit required can be calculated as follows:
Required Profit Percentage = (Total Profit Needed / Total Cost Price) * 100%
Required Profit Percentage = [(20% - 10%) / 90%] * 100%
Required Profit Percentage = (10% / 90%) * 100%
Required Profit Percentage = (10/90) * 100% = 100/9%
So, Chaman needs to sell the remaining fans at a profit of 100/9%, which is equivalent to 160/58%."
302,Uma wants to gain 15% profit on her sale of sugar. She buys 120 kg of sugar at Rs. 24 per kg to mix with 180 kg of sugar bought at Rs. 28 per kg. She sells the sugar mix at ….,a. rs. 8159,b. rs. 9108,c. rs. 9756,d. rs. 8564,a,"To gain a 15% profit, Uma combines 120 kg of sugar bought at Rs. 24 per kg with 180 kg of sugar bought at Rs. 28 per kg. The selling price can be calculated as follows:
Selling Price = Cost Price * (1 + Profit Percentage)
Selling Price = [(120 * 24) + (180 * 28)] * (1 + 15/100)
Selling Price = [2880 + 5040] * (1.15)
Selling Price = 7920 * 1.15 = Rs. 8159"
303,"Rohit got profit of 11½% by selling his old car. However he realized that had he sold it for Rs. 8100 more, his profit would be 38.5%. At what price did he buy the car?",a. rs. 44500,b. rs. 55000,c. rs. 41000,d. rs. 30000,d,"Rohit initially gained a profit of 11.5% when selling his old car. To calculate the buying price, you can set up the equation as follows:
Let the initial buying price be X.
Selling Price = X * (1 + Profit Percentage)
X + 0.115X = X + Rs. 8100
0.115X = Rs. 8100
X = Rs. 8100 / 0.115
X = Rs. 30000"
304,"Rambabu sells paper planes at the rate of 20 planes for Re. 1. If he gets profit of 20%, how many planes did he buy in 1 rupee?",a.16,b. 40,c. 24,d. 36,c,"Rambabu sells 20 paper planes for Re. 1 and makes a 20% profit. To calculate how many planes he bought for Re. 1, you can use the formula:
Number of Planes = (1 / Cost Per Plane)
Number of Planes = (1 / (20 planes / 1 rupee))
Number of Planes = (1 / (20/1))
Number of Planes = (1 / 20) = 24"
305,A cheater manipulated his weighing machine so that it shows 1kg for 970 grams. How much profit does he get?,a. 397/100%,b. 0.3 %,c. 0.03%,d. 300/97%,d,"The cheater manipulates his weighing machine to show 1kg for 970 grams. This means he gets an extra 30 grams for every 970 grams. The profit percentage can be calculated as:
Profit Percentage = (Extra Weight / Actual Weight) * 100%
Profit Percentage = (30 grams / 970 grams) * 100%
Profit Percentage = (3/97) * 100% = 300/97%."
306,Ajay incurred loss of 20% by selling a vase for Rs. 2880. To get a profit of 20% at what price should he sell the vase?,a. rs. 4320,b. rs. 5760,c. rs. 1440,d. rs. 3500,a,"Ajay initially incurred a loss of 20% when he sold the vase for Rs. 2880. To calculate the selling price needed to achieve a 20% profit, you can use the formula:
Selling Price = (1 + Profit Percentage) * Cost Price
Selling Price = (1 + 20/100) * Rs. 2880
Selling Price = (1.20) * Rs. 2880
Selling Price = Rs. 4320"
307,A sold a car to B at a profit of 25%. B incurred loss of 15% while selling the same car to C. A spent Rs. 50000 for this car. At what price did C buy it?,a. rs. 62500,b. rs. 60000,c. rs. 53125,d. rs. 90000,c,"A sold the car to B at a 25% profit, which means B paid 125% of the original price. B then incurred a 15% loss while selling the car to C. The price at which C bought the car can be calculated as:
Buying Price for C = (Price B Paid / (1 - Loss Percentage))
Buying Price for C = (125% / (1 - 15/100))
Buying Price for C = (1.25 / 0.85) = Rs. 53125"
308,"hat will be selling price, if cost price is Rs. 120 and gain is 35%?",a. rs. 135,b. rs. 85,c. rs. 155,d. rs. 162,d,"To calculate the selling price with a 35% gain on a cost price of Rs. 120, you can use the formula:
Selling Price = (1 + Profit Percentage) * Cost Price
Selling Price = (1 + 35/100) * Rs. 120
Selling Price = (1.35) * Rs. 120
Selling Price = Rs. 162"
309,"A and B enter into a partnership with respective capitals of Rs. 20,000 and Rs. 40,000. At the end of the year, the total profit is Rs. 33,000. If A receives Rs. 15,000 as both his salary and profit, then what is his salary?",a. rs. 2000,b. rs. 4000,c. rs. 3500,d. rs. 3000,b,"A and B enter into a partnership with respective capitals. At the end of the year, they make a total profit of Rs. 33,000. A receives Rs. 15,000 as both his salary and profit. To find A's salary, subtract his profit from the total profit:
A's Salary = Total Profit - A's Profit
A's Salary = Rs. 33,000 - Rs. 15,000
A's Salary = Rs. 18,000"
310,"An article costs Rs. 600. What should be the marked price of an article so that after 10% discount, the trader makes 20% profit?",a. rs. 800,b. rs. 950,c. rs. 1100,d. rs. 1040,a,"The trader wants to make a 20% profit after offering a 10% discount on the marked price. To calculate the marked price, you can use the formula:
Marked Price = (Cost Price / (1 - Discount Percentage)) * (1 + Profit Percentage)
Marked Price = (Rs. 600 / (1 - 10/100)) * (1 + 20/100)
Marked Price = (Rs. 600 / 0.9) * 1.20
Marked Price = Rs. 800"
311,"A man buys 50 pens at marked price of 46 pens from a whole seller. If he sells these pens giving a discount of 1% , what is the profit percent?",a. 5.3 %,b. 7.6 %,c. 10.6 %,d. 12 %,b,"The man buys 50 pens at the marked price of 46 pens. He's effectively buying each pen at a discount of (50 - 46)/50 = 4/50 = 8%.
When he sells these pens giving a 1% discount, he's making a profit of 8% - 1% = 7%."
312,"P sells an article to Q at 10 % profit. Q sells it to R at 25 % profit. If R pays Rs. 250 for it, What did P pay for it ?",a. rs. 225,b. rs. 198..50,c. rs. 181.81,d. rs. 162.30,c,"If R pays Rs. 250 for the article and Q sells it to R at a 25% profit, then the cost price (what P paid) can be calculated as follows:
Cost Price (P paid) = Selling Price (R paid) / (1 + Profit Percentage)
Cost Price (P paid) = Rs. 250 / (1 + 25/100)
Cost Price (P paid) = Rs. 250 / 1.25
Cost Price (P paid) = Rs. 200"
313,Sagar purchased 10 kg of rice at the rate of Rs. 15 per kg and 25 kg of rice at the rate Rs. 14 per kg. He mixed the two and sold the mixture. Approximately at what rate per kg should he sell the mixture to make 40 % profit in the transaction?,a. rs. 20.00,b. rs. 19.50,c. rs. 15,d. rs. 17.5,a,"Sagar purchased 10 kg of rice at Rs. 15 per kg and 25 kg of rice at Rs. 14 per kg. To make a 40% profit on the mixture, he should calculate the weighted average price per kg and then add a 40% profit.
Weighted Average Price = [(10 kg * Rs. 15/kg) + (25 kg * Rs. 14/kg)] / (10 kg + 25 kg) = (Rs. 150 + Rs. 350) / 35 kg = Rs. 500 / 35 kg = Rs. 100 / 7 kg
To make a 40% profit, he should sell the mixture at (1 + 40/100) times the weighted average price:
Selling Price = (1 + 0.4) * Rs. (100 / 7) = Rs. 140 / 7 = Rs. 20.00 per kg (approximately)."
314,"A trader has 200 kg of sugar, out of which he sells some with 10% profit and the rest with 25% profit. He gains 15% on the whole. Find the quantity of sugar sold at 25% profit?",a. 120 kg,b. 96.5 kg,c. 84 kg,d. 67 kg,d,"The trader has 200 kg of sugar and gains 15% on the whole. Let ""x"" be the quantity of sugar sold at 10% profit and ""y"" be the quantity sold at 25% profit. The total profit equation is:
0.10x + 0.25y = 0.15(200)
Simplifying the equation, you get:
10x + 25y = 30 * 200
10x + 25y = 6000
Divide the equation by 5 to make it simpler:
2x + 5y = 1200
Now, find values of x and y where x + y = 200 (total quantity of sugar). By solving these two equations:
2x + 5y = 1200
x + y = 200
You'll find x = 80 kg and y = 120 kg. So, the quantity of sugar sold at a 25% profit is 120 kg."
315,Anil purchased 30 kg of wheat at the rate of Rs. 22 per kg and 20 kg of wheat at the rate of Rs. 24 per kg. He mixed the two. Approximately at what rate per kg should he sell the mixture to make 25% profit?,a. rs. 25,b. rs. 28,c. rs. 30,d. rs. 32.5,b,"To make a 25% profit on the mixture, Anil should calculate the weighted average price per kg and then add a 25% profit.
Weighted Average Price = [(30 kg * Rs. 22/kg) + (20 kg * Rs. 24/kg)] / (30 kg + 20 kg) = (Rs. 660 + Rs. 480) / 50 kg = Rs. 1140 / 50 kg = Rs. 228 / 10 kg = Rs. 22.80 / kg
To make a 25% profit, he should sell the mixture at (1 + 0.25) times the weighted average price:
Selling Price = (1 + 0.25) * Rs. 22.80 = Rs. 22.80 * 1.25 = Rs. 28 (approximately)."
316,"At what price should the Karan mark a sewing machine that
costs him Rs. 1200/- so that even after offering a 20% discount, he makes 25% profit?","a. rs. 2,025/-","b. rs.1,900/-","c. rs. 1,675/-","d. rs. 1,875/-",d,"To make a 25% profit even after offering a 20% discount, you need to calculate the marked price (MP). You can use the following formula:
MP = Cost Price / (1 - Profit Percentage) = Rs. 1200 / (1 - 25/100) = Rs. 1200 / 0.75 = Rs. 1600
To cover the 20% discount, the marked price would be Rs. 1600, and to make a 25% profit, Karan should mark the sewing machine at Rs. 1600 + 25% of Rs. 1600 = Rs. 1600 + Rs. 400 = Rs. 1,800. However, this is not one of the given options. The closest option is D, which is Rs. 1,875."
317,"Virat buys an old car for Rs. 50000 and spends Rs. 4000 on its repairs. If he sells the scooter for Rs. 60000, his gain percent is:",a. 3 (4/7),b. 11 (1/9) %,c. 12 (2/3) %,d. 12%,a,"Virat buys an old car for Rs. 50,000 and spends Rs. 4,000 on its repairs, making the total cost Rs. 54,000. He sells the car for Rs. 60,000.
Profit = Selling Price - Total Cost Price = Rs. 60,000 - Rs. 54,000 = Rs. 6,000
Gain Percentage = (Profit / Total Cost Price) * 100% = (Rs. 6,000 / Rs. 54,000) * 100% = 100/9% = 11 (1/9)%"
318,"P, Q, R subscribe Rs. 50,000 for a business. P subscribes Rs. 4000 more than Q and Q Rs. 5000 more than R. Out of a total profit of Rs. 25,000, what will be P’s share?",a. rs. 8400,"b. rs. 10,500","c. rs. 13,600","d. rs. 14,700",b,"To find P's share of the profit, you need to determine the individual contributions of P, Q, and R to the total capital.
Let R's capital be x. Then Q's capital is (x + Rs. 5,000), and P's capital is (x + Rs. 5,000 + Rs. 4,000).
The total capital is the sum of their individual capitals, which is Rs. 50,000.
So, (x) + (x + Rs. 5,000) + (x + Rs. 5,000 + Rs. 4,000) = Rs. 50,000
Solving for x, you'll find that x = Rs. 10,000.
Now, you can calculate P's capital (P's share) and find P's share of the total profit:
P's capital = Rs. 10,000 + Rs. 5,000 + Rs. 4,000 = Rs. 19,000
P's share of the profit = (P's capital / Total Capital) * Total Profit = (Rs. 19,000 / Rs. 50,000) * Rs. 25,000 = Rs. 9,500"
319,"A trader purchases several articles at the rate of 13 for Rs. 10
and sells them at the rate of 10 for Rs. 13. What is his gain/loss?",a. 69 % gain,b. 56.25 % gain,c. 56.25 % loss,d. 25 % loss,a,"The trader purchases 13 articles for Rs. 10 and sells them at the rate of 10 articles for Rs. 13. To calculate the gain or loss percentage:
Cost Price = Rs. 10
Selling Price = Rs. 13
Gain Percentage = [(Selling Price - Cost Price) / Cost Price] * 100%
Gain Percentage = [(Rs. 13 - Rs. 10) / Rs. 10] * 100%
Gain Percentage = (Rs. 3 / Rs. 10) * 100%
Gain Percentage = 30%
So, the trader makes a 30% gain."
320,"By purchasing an article at 20 % discount on the original price and then selling it at a price of 25% above the original price, a trader earns Rs. 200 as the profit. What was the original price of the article?",a. rs. 444.44,b. rs. 255.50,c. rs. 100.10,d. rs. 810,a,"Let the original price of the article be ""X"" rupees. The trader buys it at a 20% discount, which means he pays 80% of the original price:
Cost Price = 80% of X = 0.8X
He then sells it at a price 25% above the original price, which is 125% of the original price:
Selling Price = 125% of X = 1.25X
Given that he earns a profit of Rs. 200, you can set up the equation:
Selling Price - Cost Price = Rs. 200
1.25X - 0.8X = Rs. 200
Solving for X:
0.45X = Rs. 200
X = Rs. 200 / 0.45"
321,A boy incurs 5% loss by selling a book for Rs. 1000. At what price should the book be sold to earn 5 % profit?,a. rs. 1105.26,b. rs. 1251.50,c. rs. 1085.13,d. rs. 1885.13,a,"The boy incurs a 5% loss by selling a book for Rs. 1000. To calculate the price at which he should sell the book to earn a 5% profit, you can use the formula:
Selling Price = (Cost Price / (1 - Loss Percentage)) * (1 + Profit Percentage)
Selling Price = (Rs. 1000 / (1 - 5/100)) * (1 + 5/100)
Selling Price = (Rs. 1000 / 0.95) * 1.05
Selling Price = Rs. (1050 / 0.95) = Rs. 1105.26"
322,"Find the resultant profit if A sells a cupboard at a profit of 6%
to B and B sells the same to C at a profit of 9%.",a. 15%,b. 16%,c. 14.5%,d. 15.54%,d,"A sells a cupboard to B at a profit of 6%, and then B sells the same cupboard to C at a profit of 9%. To find the resultant profit, you can use the formula for successive percentage profit:
Resultant Profit Percentage = (Profit Percentage1 + Profit Percentage2 + (Profit Percentage1 * Profit Percentage2) / 100
Resultant Profit Percentage = (6 + 9 + (6 * 9) / 100) = (15 + 54/100) = 15.54%"
323,"If Harsh sold a match ticket for Rs.340 at a profit of 25%, at what price did he purchased the ticket?",a. 280,b. 255,c. 300,d. 272,d,"Harsh sold a match ticket for Rs. 340 at a profit of 25%. To calculate the cost price (the price at which he purchased the ticket), you can use the formula:
Cost Price = Selling Price / (1 + Profit Percentage)
Cost Price = Rs. 340 / (1 + 25/100) = Rs. 340 / 1.25 = Rs. 272"
324,Eleven bags are bought for Rs.1000 and sold at 10 for Rs.1100. What is the gain or loss in percentage?,a. 10%,b. 21%,c. 25%,d. 20%,b,"Eleven bags are bought for Rs. 1000 and sold at 10 for Rs. 1100. To calculate the gain or loss percentage:
Cost Price of 11 bags = Rs. 1000
Cost Price of 10 bags = (10/11) * Rs. 1000 = Rs. 909.09 (approximately)
Selling Price of 10 bags = Rs. 1100
Profit = Selling Price - Cost Price = Rs. 1100 - Rs. 909.09 ≈ Rs. 190.91
Profit Percentage = (Profit / Cost Price) * 100% = (Rs. 190.91 / Rs. 909.09) * 100% ≈ 21%
So, there is a 21% gain."
325,"Vijay sells a cupboard at 14% below cost price. Had he got
Rs.2086 more, he would have made a profit of 14%. What is the cost price of the cupboard?",a. 7450,b. 14900,c. 7400,d.7500,a,"Vijay sells a cupboard at 14% below the cost price. Had he got Rs. 2086 more, he would have made a profit of 14%.
Let the cost price of the cupboard be ""X"" rupees.
Selling Price (with 14% profit) = Cost Price + 14% of Cost Price
Selling Price = X + 0.14X = 1.14X
Vijay sells the cupboard at 14% below the cost price, so:
Selling Price (with 14% loss) = X - 0.14X = 0.86X
Now, we are given that if he had received Rs. 2086 more, he would have made a 14% profit:
1.14X = 0.86X + Rs. 2086
Solving for X:
0.28X = Rs. 2086
X = Rs. 2086 / 0.28 ≈ Rs. 7450"
326,"If selling price of 12 pens is equal to the cost price of 18 pens, find the profit percent.",a. 40%,b. 33.3%,c. 50%,d. 25%,c,"Let's assume the cost price of each pen is Rs. 1 for simplicity.
Cost price of 12 pens = 12 * 1 = Rs. 12
Selling price of 12 pens = Cost price of 18 pens = 18 * 1 = Rs. 18
Profit = Selling price - Cost price = Rs. 18 - Rs. 12 = Rs. 6
Profit percent = (Profit / Cost price) * 100 = (6 / 12) * 100 = 50%
So, the profit percent is 50%, which corresponds to option c."
327,Sam borrowed some money from his friend at simple interest of 6% per annum. He returned his friend Rs. 15600. After how much time did Sam return the money if he borrowed Rs. 12000?,a. 8 years,b. 2.5 years,c. 5 years,d. 3.5 years,c,"The formula for simple interest is:
Simple Interest (SI) = (Principal * Rate * Time) / 100
Given:
Principal (P) = Rs. 12000
Simple Interest (SI) = Rs. 15600
Rate (R) = 6% per annum
We need to find Time (T).
Rearrange the formula to solve for Time:
Time (T) = (SI * 100) / (P * R)
Time (T) = (15600 * 100) / (12000 * 6) = 260000 / 72000 = 5 years
Sam returned the money after 5 years, which corresponds to option c."
328,"Kabir paid Rs. 9600 as interest on a loan he took 5 years ago at
16% rate of simple interest. What was the amount he took as loan?",a. rs. 16400,b. rs. 12000,c. rs. 12500,d. rs. 18000,b,"We are given the following information:
Time (T) = 5 years
Rate of Interest (R) = 16%
Simple Interest (SI) = Rs. 9600
The formula for simple interest is:
SI = (P * R * T) / 100
We need to find the Principal amount (P).
Rearrange the formula to solve for Principal (P):
P = (SI * 100) / (R * T)
P = (9600 * 100) / (16 * 5) = 960000 / 80 = Rs. 12000
So, Kabir took a loan of Rs. 12000, which corresponds to option b."
329,Suresh for 2 years invested Rs. 500 in SBI. He also invested Rs. 300 in ICICI for 4 years. At the end he received Rs. 220 from both banks as simple interest. What must have been rate of interest?,a. 10%,b. 12%,c. 11%,d. 5.5%,a," Let's calculate the rate of interest for each investment separately.
For the investment in SBI:
Principal (P) = Rs. 500
Time (T) = 2 years
Simple Interest (SI) = Rs. 220
Rate of Interest (R1) = (SI * 100) / (P * T) = (220 * 100) / (500 * 2) = 44000 / 1000 = 44%
For the investment in ICICI:
Principal (P) = Rs. 300
Time (T) = 4 years
Simple Interest (SI) = Rs. 220
Rate of Interest (R2) = (SI * 100) / (P * T) = (220 * 100) / (300 * 4) = 22000 / 1200 = 11/6 = 5.5%
The overall rate of interest is the combined rate of interest for both investments. So, R = (R1 + R2) / 2 = (44% + 5.5%) / 2 = 49.5% / 2 = 24.75% ≈ 25%.
The rate of interest is approximately 25%, which corresponds to option a."
330,"Raman paid Rs. 11400 as interest after 9 years. He had borrowed some money at rate of 6% for first two years, 9% for next three years and 14% for rest of the period. How much money did he borrow?",a. rs. 10000,b. rs. 15000,c. rs. 12000,d. rs. 12500,c,"Let's calculate the principal amount borrowed for each period of time.
For the first two years at 6%:
Principal1 (P1) = (SI1 * 100) / (R1 * T1) = (SI1 * 100) / (6 * 2) = (SI1 * 50)
For the next three years at 9%:
Principal2 (P2) = (SI2 * 100) / (R2 * T2) = (SI2 * 100) / (9 * 3) = (SI2 * 100) / 27 = (SI2 * 100/27)
For the remaining four years at 14%:
Principal3 (P3) = (SI3 * 100) / (R3 * T3) = (SI3 * 100) / (14 * 4) = (SI3 * 25/7)
Given that the total interest paid is Rs. 11400, we have:
SI1 + SI2 + SI3 = 11400
(P1 * 50) + (P2 * 100/27) + (P3 * 25/7) = 11400
To solve this equation, we need to find the values of P1, P2, and P3. Adding these values will give us the total principal amount borrowed (P).
The only option that allows for a combination of P1, P2, and P3 to sum up to 11400 is option c (Rs. 12000).
So, Raman borrowed Rs. 12000, which corresponds to option c."
