,prompt
148,"Answer the following Multiple choice question :  Question : Ordinarily, a minor’s agreement is Option A : A.Void ab initio Option B : B.Voidable Option C : C.Valid Option D : D.Unlawful Correct Ans :  a Explanation : The correct answer is (A) Void ab initio.An agreement with a minor is considered void ab initio, meaning it is void from the beginning or invalid from the outset. This is based on the principle that minors lack the legal capacity to enter into a contract, and such agreements are not enforceable against them."
149,"Answer the following Multiple choice question :  Question : A minor’s liability for ‘necessaries’ supplied to him Option A : A.Arises after he attains majority age Option B : B.Is against only minor’s property Option C : C.Does not arise at all Option D : D.Arises if minor gives a promise for it Correct Ans :  b Explanation : The correct answer is (B) Is against only the minor's property.When 'necessaries' are supplied to a minor, the supplier can recover the cost of these essential goods or services from the minor's property. This means that the minor is liable for payment from their own assets, but not personally, as their contracts are typically voidable due to their age."
150,"Answer the following Multiple choice question :  Question : Which of the following statement is not true about minor’s position in a form? Option A : A.He cannot become a partner in an existing firm Option B : B.He can become a partner in an existing firm Option C : C.He can be admitted only to the benefits of any existing firm Option D : D.He can become partner on becoming a major Correct Ans :  b Explanation : Generally, a minor cannot become a partner in an existing firm. However, he can be admitted to the benefits of an existing firm, which means he can share in the profits but is not personally liable for the firm's debts."
151,"Answer the following Multiple choice question :  Question : Which of the following statement is true? Option A : A.A contract with a minor is voidable at the option of the minor Option B : B.An agreement with the minor can be ratified after he attains majority Option C : C.A person who is usually of an unsound mind cannot enter into contract even when he is of a sound mind Option D : D.A person who is usually of an sound mind cannot enter into contract even when Correct Ans :  d Explanation : A person of unsound mind is considered to be incompetent to contract, even when they are of sound mind. This is because they are not able to fully understand the terms of the contract or the consequences of entering into it."
152,"Answer the following Multiple choice question :  Question : Consent is not said to be free when it is caused by Option A : A.Coercion Option B : B.Undue influence Option C : C.Fraud Option D : D.All of these Correct Ans :  d Explanation : Consent is not considered free when it is caused by any of the mentioned factors: coercion, undue influence, fraud, or misrepresentation."
153,"Answer the following Multiple choice question :  Question : When the consent of a party is obtained by fraud, the contract is Option A : A.Void Option B : B.Voidable Option C : C.Valid Option D : D.Illegal Correct Ans :  b Explanation : If consent is obtained by fraud, the contract is voidable, which means it can be set aside by the party whose consent was affected by the fraud."
154,"Answer the following Multiple choice question :  Question : The threat to commit suicide amounts to Option A : A.Coercion Option B : B.Undue influence Option C : C.Misrepresentation Option D : D.Fraud Correct Ans :  a Explanation : A threat to commit suicide can amount to coercion, which is the act of compelling a person to do something against their will by using force or threats."
155,"Answer the following Multiple choice question :  Question : Moral pressure is involved in the case of Option A : A.Coercion Option B : B.Undue influence Option C : C.Misrepresentation Option D : D.Fraud Correct Ans :  b Explanation : Moral pressure is often involved in cases of undue influence, where one party takes advantage of a position of trust or authority to exert influence over the other party."
156,Answer the following Multiple choice question :  Question : A wrong representation when made without any intention to deceive the other party amounts to Option A : A.Coercion Option B : B.Undue influence Option C : C.Misrepresentation Option D : D.Fraud Correct Ans :  c Explanation : A wrong representation made without any intention to deceive but resulting in a misunderstanding can be considered misrepresentation.
157,"Answer the following Multiple choice question :  Question : Which of the following statement is true? Option A : A.A threat to commit suicide does not amount to coercion Option B : B.Undue influence involves use of physical pressure Option C : C.Ignorance of law is no excuse Option D : D.Silence always amounts to fraud Correct Ans :  c Explanation : The statement ""Ignorance of law is no excuse"" is true. In legal terms, individuals are generally expected to be aware of and comply with the law, and claiming ignorance of the law is not a valid excuse for breaking it. This principle is often summarized in the Latin legal maxim ""Ignorantia juris non excusat."""
158,"Answer the following Multiple choice question :  Question : In case of illegal agreements, the collateral agreements are; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Any of these Correct Ans :  b Explanation : In the case of illegal agreements, collateral agreements are generally considered valid. The illegality of the main agreement does not necessarily affect the validity of collateral agreements that are not themselves illegal. These collateral agreements can stand independently and be enforced by the parties involved."
159,"Answer the following Multiple choice question :  Question : An agreement the object or consideration of which is unlawful, is: Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Contingent Correct Ans :  a Explanation : An agreement with an unlawful object or consideration is considered void, which means it has no legal effect."
160,"Answer the following Multiple choice question :  Question : An agreement is void if it is opposed to public policy. Which of the following is not covered by heads of public policy. Option A : A.Trading with an enemy Option B : B.Trafficking in public offices Option C : C.Marriage brokerage contracts Option D : D.Contracts to do impossible acts Correct Ans :  d Explanation : The correct answer is (D) Contracts to do impossible acts.Contracts to do impossible acts are not necessarily opposed to public policy and are not generally considered a part of the heads of public policy. While such contracts are impractical, they are not void solely on the grounds of public policy. The other options listed (A, B, and C) are generally considered to be against public policy and, therefore, void."
161,"Answer the following Multiple choice question :  Question : On the valid performance of the contractual obligations by the parties, the contract; Option A : A.Is discharged Option B : B.Becomes enforceable Option C : C.Becomes void Option D : D.None of these Correct Ans :  a Explanation : When the parties to a contract fulfill their obligations, the contract is considered discharged, meaning it is completed and no longer in force."
162,"Answer the following Multiple choice question :  Question : Which of the following persons can perform the contract? Option A : A.Promisor alone Option B : B.Legal representatives of the Promisor Option C : C.Agent of the Promisor Option D : D.All of these Correct Ans :  d Explanation : The promisor alone, legal representatives of the promisor, or the agent of the promisor, as authorized, can perform the contract."
163,"Answer the following Multiple choice question :  Question : A, B and C jointly promised to pay Rs.6000 to D. Before the performance of the contract, C dies. Here the contract; Option A : A.Becomes void on C’s death Option B : B.Should be performed by A and B along with C’s legal representatives Option C : C.Should be performed by A and B alone Option D : D.Should be renewed between A, B and D Correct Ans :  b Explanation : In the case of a joint promise, the legal representatives of a deceased promisor should join the surviving promisors to fulfill the promise."
164,"Answer the following Multiple choice question :  Question : A contract is discharged by novation which means the; Option A : A. Cancellation of the existing contract Option B : B.Change in one or more terms of the contract Option C : C.Substitution of existing contract for a new one Option D : D.None of these Correct Ans :  c Explanation : Novation involves the substitution of the existing contract with a new one, with the consent of all parties involved."
165,"Answer the following Multiple choice question :  Question : A contract is discharged by recission which means the; Option A : A.Change in one or more terms of the contract Option B : B.Acceptance of lesser performance Option C : C.Abandonment of rights by a party Option D : D.Cancellation of the existing contract Correct Ans :  d Explanation : An agreement is considered void if it is opposed to public policy. While the other options are indeed covered under the heads of public policy, contracts to do impossible acts are not specifically categorized as being against public policy. Instead, they are generally considered void for being impossible to perform, regardless of public policy considerations."
166,"Answer the following Multiple choice question :  Question : When prior to the due date of performance, the promisor absolutely refuses to perform the contract, it is known as: Option A : A.Abandonment of a contract Option B : B.Remission of contract Option C : C.Actual breach of contract Option D : D.Anticipatory breach of contract Correct Ans :  d Explanation : Anticipatory breach occurs when a promisor clearly and absolutely refuses to perform the contract before the performance is due."
167,"Answer the following Multiple choice question :  Question : In case of anticipatory breach, the aggrieved party may treat the contract; Option A : A.As discharged and bring an immediate action for damages Option B : B.As operative and wait till the time for performance arrives Option C : C.Exercise option either (a) or (b) Option D : D.None of these Correct Ans :  c Explanation : In the case of an anticipatory breach of contract, the aggrieved party has the option to either (a) treat the contract as discharged and bring an immediate action for damages, or (b) consider the contract as operative and wait until the time for performance arrives. Therefore, the correct answer is (c), which states that the aggrieved party can exercise either option (a) or (b) based on their preference and circumstances."
168,"Answer the following Multiple choice question :  Question : In case of breach of contract, which of the following remedy is available to the aggrieved party? Option A : A.Suit for recission Option B : B.Suit for damages Option C : C.Suit for specific performance Option D : D.All of these Correct Ans :  d Explanation : In case of a breach of contract, the aggrieved party may have various remedies available, including suing for damages, seeking specific performance, or even rescission, depending on the circumstances."
169,"Answer the following Multiple choice question :  Question : Sometimes, a party is entitled to claim compensation in proportion to the work done by him. It is possible by a suit for; Option A : A.Damages Option B : B.Injunction Option C : C.Quantum merit Option D : D.None of these Correct Ans :  c Explanation : A suit for ""quantum meruit"" allows a party to claim compensation in proportion to the work done or services rendered, even if there is no formal contract specifying the payment."
170,"Answer the following Multiple choice question :  Question : Generally, which of the following damages are not recoverable? Option A : A.Ordinary damages Option B : B.Special damages Option C : C.Remote damages Option D : D.Nominal damages Correct Ans :  c Explanation : Remote damages are generally not recoverable. Remote damages refer to those damages that are too far removed or indirect to be reasonably foreseeable as a result of a breach of contract. To be recoverable, damages must be a direct and natural consequence of the breach. Remote damages are considered too speculative or unforeseeable to be compensated in most contract breach cases. Therefore, the correct answer is (C) remote damages."
171,"Answer the following Multiple choice question :  Question : A contract depend on the happening or non happening of the future uncertain event, is a Option A : A.Uncertain contract Option B : B.Contingent contract Option C : C.Void contract Option D : D.Voidable contract Correct Ans :  b Explanation : A contingent contract is one where the performance depends on the occurrence or non-occurrence of a future uncertain event."
172,Answer the following Multiple choice question :  Question : A contingent contract is ; Option A : A.Void Option B : B.Voidable Option C : C.Valid Option D : D.Illegal Correct Ans :  c Explanation : Contingent contracts are valid contracts. They become enforceable when the specified event occurs or does not occur.
173,Answer the following Multiple choice question :  Question : A contingent contract depend on the happening of the future uncertain event can be enforced when the event; Option A : A.Happens Option B : B.Becomes impossible Option C : C.Doesn’t happen Option D : D.Either of these Correct Ans :  a Explanation : Contingent contracts can be enforced when the specified event happens.
174,"Answer the following Multiple choice question :  Question : A agrees to pay Rs.1,00,000 to B if he brings a star from the sky. This is a contingent contract and Option A : A.Illegal Option B : B.Valid Option C : C.Voidable Option D : D.Void Correct Ans :  d Explanation : This contract is void because it is impossible for anyone to bring a star from the sky, and it lacks a lawful object."
175,"Answer the following Multiple choice question :  Question : Which of the following statement is true? Option A : A.An agreement enforceable by law is a contract Option B : B.An agreement is an accepted proposal Option C : C.Both (a) and (b) Option D : D.None of these Correct Ans :  c Explanation : The statement ""Both (a) and (b)"" is true.(A) An agreement enforceable by law is a contract, and (B) an agreement is an accepted proposal.An agreement becomes a contract when it is enforceable by law, and it is essentially a meeting of minds where one party makes an offer (proposal), and the other party accepts it, forming the basis of a contract. Therefore, both statements (a) and (b) are correct."
176,"Answer the following Multiple choice question :  Question : A voidable contract is one which; Option A : A.Can be enforced at the option of the aggrieved party Option B : B.Can be enforced at the option of the both parties Option C : C.Cannot be enforced in a court of laws Option D : D.Court prohibits Correct Ans :  a Explanation : A voidable contract is one that can be enforced or set aside at the option of the party whose consent was obtained by coercion, fraud, misrepresentation, or undue influence."
177,"Answer the following Multiple choice question :  Question : On the acceptance of an offer by a offeree Option A : A.Only the acceptor becomes bound by accepting the offer Option B : B.Only the offeror becomes bound as his terms are accepted Option C : C.Both the acceptor and offeree becomes bound by the contract Option D : D.None of these Correct Ans :  c Explanation : Acceptance of an offer creates a binding contract, and both the offeror and acceptor become obligated to fulfill their respective obligations under the contract."
178,"Answer the following Multiple choice question :  Question : A, by a letter dated 25th December 1998, offers to sell his house to B for Rs.10 lakhs. The letter reaches on 27th Dec.1998, who posts his acceptance on 28th Dec. 1998 which reaches A on 30th Dec.1998. Here the communication of offer is completed on; Option A : A.25th Dec.1998 Option B : B.27th Dec.1998 Option C : C.28th Dec.1998 Option D : D.30th Dec.1998 Correct Ans :  b Explanation : The communication of the offer is completed when it reaches the offeree, which is on the 27th of December 1998 in this case."
179,"Answer the following Multiple choice question :  Question : In the above question, the communication of acceptance is complete against A on 28th Dec.1998 and against B on; Option A : A. 25th Dec.1998 Option B : B. 27th Dec.1998 Option C : C. 28th Dec.1998 Option D : D. 30th Dec.1998 Correct Ans :  d Explanation : The communication of acceptance is complete when it comes to the knowledge of the offeror (A), which is on the 28th of December 1998. It is also complete against B on the same date."
180,"Answer the following Multiple choice question :  Question : As a general rule, an agreement made without consideration is; Option A : A.Void Option B : B.Voidable Option C : C.Valid Option D : D.Unlawful Correct Ans :  a Explanation : The correct answer is (A) Void.An agreement made without consideration is generally considered void. Consideration is a fundamental element of a valid contract, and without it, an agreement lacks the legal basis to be enforceable as a contract. Therefore, it is void, meaning it is not legally binding."
181,"Answer the following Multiple choice question :  Question : A agrees to sell his car worth Rs. I00000 lakh to B for rs.20000 and A’s consent was obtained by coercion. Here, the agreement is; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Unlawful Correct Ans :  c Explanation : When consent is obtained by coercion, the agreement becomes voidable at the option of the party whose consent was so obtained."
182,Answer the following Multiple choice question :  Question : An agreement made with free consent to which the consideration is lawful but inadequate is; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Unlawful Correct Ans :  b Explanation : Inadequate consideration does not affect the validity of an agreement if it is lawful and given with free consent.
183,"Answer the following Multiple choice question :  Question : Which of the following persons are not competent to contract? Option A : A.Minors Option B : B.Persons of unsound mind Option C : C.Persons disqualified by law Option D : D.All of these Correct Ans :  d Explanation : Minors, persons of unsound mind, and persons disqualified by law are not competent to contract."
184,"Answer the following Multiple choice question :  Question : For entering into a contract, a minor is a person who has not completed the age of Option A : A.16 years Option B : B.18 years Option C : C.20 years Option D : D.21 years Correct Ans :  b Explanation : In most jurisdictions, a minor is someone who has not yet reached the age of majority, which is typically 18 years."
185,"Answer the following Multiple choice question :  Question : A contract with the minor, which is beneficial for him, is; Option A : A.Void ab initio Option B : B.Voidable Option C : C.Valid Option D : D.Illegal Correct Ans :  c Explanation : The correct answer is (C) Valid.A contract with a minor, which is beneficial for the minor, is generally considered valid. Such contracts are enforceable, and they do not fall under the category of void or voidable contracts. This is because the law aims to protect the interests of the minor in such cases."
186,Answer the following Multiple choice question :  Question : Which of the following persons do not fall under the category of persons of unsound mind? Option A : A.Idiot Option B : B.Lunatics Option C : C.Drunken Option D : D.Alien Correct Ans :  d Explanation : Aliens (foreign nationals) do not fall under the category of persons of unsound mind. Persons of unsound mind typically refer to those with mental incapacity.
187,"Answer the following Multiple choice question :  Question : Which of the following elements does not affect the free consent of the parties. Option A : A.Coercion Option B : B.Fraud Option C : C.Incompetency Option D : D.Undue influence Correct Ans :  c Explanation : Incompetency refers to a party's legal incapacity to enter into a contract, which is different from factors like coercion, fraud, and undue influence that affect free consent."
188,"Answer the following Multiple choice question :  Question : When the consent of a party is obtained by coercion undue influence, fraud or misrepresentation, the contract is; Option A : A.Void Option B : B.Voidable Option C : C.Valid Option D : D.Illegal Correct Ans :  b Explanation : Contracts where consent is obtained by these factors are voidable, meaning they can be set aside at the option of the affected party."
189,"Answer the following Multiple choice question :  Question : A threatens to kill B if he does not agrees to sell his scooter from him for Rs.1000. Here B’s consent is obtained by Option A : A.A undue influence Option B : B.Fraud Option C : C.Coercion Option D : D.None of these Correct Ans :  c Explanation : Threats to kill someone to obtain their consent clearly constitute coercion, which affects the validity of the agreement."
190,"Answer the following Multiple choice question :  Question : When the consent to an agreement is obtained by coercion, the agreement is voidable at the option of Option A : A.Either party to the agreement Option B : B.A party whose consent was so obtained Option C : C.A party who obtained the consent Option D : D.None of these Correct Ans :  b Explanation : When consent is obtained by coercion, the party whose consent was coerced has the option to make the agreement voidable."
191,"Answer the following Multiple choice question :  Question : When one party is in a position to dominate the will of another and uses his superior position to obtain the consent of a weaker party, the consent is said to be obtained by; Option A : A.Coercion Option B : B.Undue influence Option C : C.Fraud Option D : D.Misrepresentation Correct Ans :  b Explanation : Undue influence occurs when one party dominates the will of another and uses that position to influence the weaker party's consent."
192,"Answer the following Multiple choice question :  Question : Which of the following acts does not fall under the categories of fraud? Option A : A.Intentional false statement of facts Option B : B.Active concealment of facts Option C : C.Innocent false statements Option D : D.Promise made without intention to perform Correct Ans :  c Explanation : Fraud involves intentional false statements or active concealment of facts. Innocent false statements, while incorrect, are not considered fraudulent."
193,"Answer the following Multiple choice question :  Question : Where the consent of a party is obtained by misrepresentation, the contract is; Option A : A.Valid Option B : B.Void Option C : C.Voidable Option D : D.Illegal Correct Ans :  c Explanation : Misrepresentation can make a contract voidable at the option of the aggrieved party."
194,"Answer the following Multiple choice question :  Question : Which of the following statement is false? Option A : A.A contract is not voidable if fraud or misrepresentation does not induce the other party to enter a contract. Option B : B.A party cannot complain of fraudulent silence or misrepresentation if he had the means of discovering the truth with ordinary means Option C : C.In case of fraud or misrepresentation, aggrieved party can either rescind or affirm the contract Option D : D.A party who affirms the contract , can also change his option afterwards if he so decides Correct Ans :  d Explanation : Once a party affirms a contract, they generally cannot change their decision later. Affirming the contract implies their intention to uphold it."
195,"Answer the following Multiple choice question :  Question : Where the consent of both the parties is given by mistakes, the contract is; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Illegal Correct Ans :  a Explanation : If both parties are mistaken about the essential facts of the contract, the contract may be considered void."
196,"Answer the following Multiple choice question :  Question : As per Section 20, the contract is void, on account of bilateral mistake of fact. But as per Section 22, if there is mistake of only one party, then the contract is; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Illegal Correct Ans :  b Explanation : Section 20 deals with mutual mistakes making the contract void, while Section 22 addresses mistakes by one party, which generally does not void the contract."
197,"Answer the following Multiple choice question :  Question : A contract made by mistake about Indian Law, is; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Illegal Correct Ans :  b Explanation : Mistakes about the law, whether Indian or foreign, typically do not make a contract void or voidable."
198,"Answer the following Multiple choice question :  Question : A contract made by mistake about some foreign law, is; Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D. Illegal Correct Ans :  a Explanation : The correct answer is (A) Void.A contract made by mistake about some foreign law is considered void. When the parties involved in a contract make a fundamental mistake regarding the foreign law that affects the contract's subject matter or performance, the contract is not enforceable and is treated as void."
199,"Answer the following Multiple choice question :  Question : A mistake as to law not in force in India has the same effect as; Option A : A.Mistake of fact Option B : B.Mistake of Indian Law Option C : C.Fraud Option D : D.Misrepresentation Correct Ans :  a Explanation : The correct answer is (A) Mistake of fact.A mistake as to a law not in force in India is treated similarly to a mistake of fact. In contract law, mistakes of fact can make a contract voidable if they concern a fundamental issue, rendering the contract void if certain conditions are met."
200,"Answer the following Multiple choice question :  Question : The consideration or object of agreement is considered unlawful, if is Option A : A.Forbidden by law Option B : B.Fraudulent Option C : C.Immoral Option D : D.All of these Correct Ans :  d Explanation : Unlawful consideration or object includes anything forbidden by law, fraudulent, or immoral."
201,"Answer the following Multiple choice question :  Question : A agrees to pay Rs.5 lakhs to B procures an employment for A in Income Tax Department. This agreement is Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Contingent Correct Ans :  a Explanation : This agreement involves bribery to obtain employment, which is illegal and void."
202,"Answer the following Multiple choice question :  Question : A agrees to pay Rs.50000 to B if he kills C. the agreement is Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Contingent Correct Ans :  a Explanation : The agreement involves an illegal act, which makes it void."
203,"Answer the following Multiple choice question :  Question : An agreement in restraint of marriage, ie, which prevents a person from marrying is Option A : A.Valid Option B : B.Voidable Option C : C.Void Option D : D. Contingent Correct Ans :  c Explanation : The correct answer is (C) Void.An agreement in restraint of marriage is considered void under Indian contract law. Such agreements that prevent a person from marrying are not legally enforceable because they are contrary to public policy and go against the principles of freedom to marry."
204,Answer the following Multiple choice question :  Question : An agreement in restraint of marriage is valid incase of the following persons Option A : A. Minors Option B : B. Educated Option C : C. Married Option D : D. None of these Correct Ans :  a Explanation : Such agreements can be valid in the case of minors.
205,"Answer the following Multiple choice question :  Question : An agreement, which prevents a person from carrying lawful business is Option A : A.Valid Option B : B.Void Option C : C.Voidable Option D : D.Contingent Correct Ans :  b Explanation : Such agreements are generally void as they restrict lawful business activities."
206,Answer the following Multiple choice question :  Question : An agreement in restraint of legal proceedings is void. It does not cover an agreement which Option A : A.Restrict absolutely the parties from enforcing their legal rights. Option B : B.Cuts short the period of limitation Option C : C.Discharges a party from liability or extinguishes the rights of a party Option D : D.Provides for a reference to arbitration instead of court of law Correct Ans :  d Explanation : Agreements that provide for arbitration instead of court proceedings are not considered in restraint of legal proceedings.
207,"Answer the following Multiple choice question :  Question : A agrees to sell his car to B at a price which B may be able to pay. This agreement is Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Contingent Correct Ans :  a Explanation : The price is uncertain, making the agreement void for uncertainty."
208,Answer the following Multiple choice question :  Question : An agreement to pay money money’s worth on the happening or non happening of a specified uncertain event is a Option A : A.Wagering agreement Option B : B.Contingent contract Option C : C.Quasi contract Option D : D.Uncertain agreement Correct Ans :  a Explanation : This describes a wagering agreement where parties bet on the outcome of a specified uncertain event.
209,Answer the following Multiple choice question :  Question : An agreement to do an illegal act(eg: sharing the earnings of smuggling business) is Option A : A.Valid Option B : B.Void Option C : C.Voidable Option D : D.Contingent Correct Ans :  b Explanation : Agreements to do illegal acts are void as they are against the law.
210,"Answer the following Multiple choice question :  Question : Where an agreement consists of two parts once legal and the other illegal and the legal part is separable from the illegal one, such legal part is Option A : A.Void Option B : B.Valid Option C : C.Voidable Option D : D.Illegal Correct Ans :  b Explanation : The legal part of the agreement can be enforced, while the illegal part is void."
211,"Answer the following Multiple choice question :  Question : A contingent contract dependent on the non happening of a future uncertain event becomes void when such event Option A : A.Happens Option B : B.Does not become impossible Option C : C.Does not happen Option D : D.Both (a) and (b) Correct Ans :  d Explanation : The correct answer is (D) Both (a) and (b).A contingent contract dependent on the non-happening of a future uncertain event becomes void when such event happens or becomes impossible. This means that if the uncertain event either happens or becomes impossible, the contract is no longer valid, and the parties are released from their obligations."
212,"Answer the following Multiple choice question :  Question : A agrees to pay Rs.1000 to B if a certain ship returns within a year. However, the ship sinks within the year. In this case, the contract becomes Option A : A.Valid Option B : B.Void Option C : C.Voidable Option D : D.Illegal Correct Ans :  b Explanation : The correct answer is (B) Void.In this case, the contract becomes void because the ship sank within the year, making the fulfillment of the condition impossible. When a contract is based on a condition that is impossible to fulfill, it is considered void from the outset."
213,Answer the following Multiple choice question :  Question : A contingent contract dependent on the non happening of specified uncertain event within fixed time can be enforced if the event Option A : A.Does not happen within fixed time Option B : B.Becomes impossible before the expiry of fixed time Option C : C.Happens within the fixed time Option D : D. Both (a) and (b) Correct Ans :  d Explanation : It can be enforced if the event does not happen within the fixed time or becomes impossible before the expiry of the fixed time.
214,Answer the following Multiple choice question :  Question : The basis of ‘quasi contractual relations’ is the Option A : A.Existence of a valid contract between the parties Option B : B.Prevention of unjust enrichment at the expense of others Option C : C.Provision contained in section 10 of the Contract Act Option D : D.Existence of a voidable contract between the parties Correct Ans :  b Explanation : Quasi-contracts are based on the principle of preventing unjust enrichment when there is no valid contract.
215,"Answer the following Multiple choice question :  Question : Sometimes, a person finds certain goods belonging to some persons. In such case, the finder Option A : A.Becomes the owner of the goods and can use them Option B : B.Is under a duty to trace the true owner and return the goods Option C : C.Can sell the perishable goods if true owner cannot be found Option D : D.Both (b) and (c) Correct Ans :  d Explanation : A finder of lost goods has a duty to trace the true owner and return the goods. If the true owner cannot be found, the finder may sell perishable goods or goods of little value."
216,"Answer the following Multiple choice question :  Question : A, B and C jointly promised to pay Rs.60000 to D. A was compelled by D to pay the entire amount of Rs.60000. Here Option A : A.A can file a suit against D for recovery of the amount exceeding his share Option B : B.A is entitled to recover Rs.20000 each from B and C Option C : C.On payment by A, the contract is discharged and B and C are also not liable to A. Option D : D.D is not justified here and is liable to refund the entire amount to A Correct Ans :  b Explanation : The correct answer is (B). In a joint promise, all the promisors are jointly and severally liable to the promisee. This means that the promisee can compel any of the promisors to pay the entire amount. After A pays the entire amount, he has the right to recover Rs. 20,000 each from B and C since they are equally liable as co-promisors. The contract is not discharged, and B and C remain liable to A for their respective shares."
217,"Answer the following Multiple choice question :  Question : In commercial transactions, time is considered to be of the essence of contract, and if the party fails to perform the contract within specified time, the contract becomes Option A : A.Voidable at the option of the other party Option B : B.Void and cannot be enforced Option C : C.Illegal for non compliance of legal terms Option D : D.Enforceable in higher court only Correct Ans :  a Explanation : If time is of the essence of a contract, and one party fails to perform within the specified time, the other party can choose to void the contract."
218,"Answer the following Multiple choice question :  Question : Where the performance of a promise by one party depends on the prior performance of promise by the other party, such reciprocal promises fall under category of Option A : A.Mutual and Concurrent Option B : B.Conditional and dependent Option C : C.Mutual and independent Option D : D.Both (a) and (b) Correct Ans :  b Explanation : The correct answer is (B). Reciprocal promises in which the performance of one promise depends on the prior performance of the other promise are considered conditional and dependent. This means that the obligations of the parties are interconnected, and one party's performance is contingent on the other party fulfilling their promise first. If one party fails to perform, it may affect the other party's obligation."
219,"Answer the following Multiple choice question :  Question : When after the formation of a valid contract, an event happens which makes the performance of contract impossible then the contract becomes Option A : A.Void Option B : B.Voidable Option C : C.Valid Option D : D.Illegal Correct Ans :  a Explanation : The correct answer is (A). When an event occurs after the formation of a valid contract that makes the performance of the contract impossible, the contract becomes void. This means that the contract is no longer enforceable, and the parties are released from their obligations due to the impossibility of performance, often referred to as ""frustration of contract."""
220,"Answer the following Multiple choice question :  Question : A party entitled to rescind contract, losses the remedy where Option A : A.He has ratified the contract Option B : B.Third party has acquired right in good faith Option C : C.Contract is not separable and recession is sought of a party only Option D : D.All of these Correct Ans :  d Explanation : If a party has ratified the contract, a third party has acquired rights in good faith, or the contract is not separable, the right to rescind the contract may be lost."
221,"Answer the following Multiple choice question :  Question : The special damages ie, the damages which arise due to so a special or unusual circumstances Option A : A.Are not recoverable altogether Option B : B.Are illegal being punitive in nature Option C : C.Cannot be claimed as a matter of right Option D : D.Can be claimed as a matter of right Correct Ans :  c Explanation : Special damages can be claimed if they were foreseeable or known to the parties at the time the contract was formed."
222,"Answer the following Multiple choice question :  Question : Which of the following statements is correct? Option A : A.Ordinary damages are recoverable Option B : B.Special damage is recoverable only if the parties knew about them Option C : C.Remote or indirect damages are not recoverable Option D : D.All of these Correct Ans :  d Explanation : All three types of damages are recoverable in a breach of contract case, but the breaching party must have known or ought to have known about special damages in order for them to be recoverable."
223,"Answer the following Multiple choice question :  Question : When offer is made to a definite person, it is known as Option A : A.General offer Option B : B.Cross offer Option C : C.Counter offer Option D : D.Special offer Correct Ans :  d Explanation : When an offer is made to a specific individual or entity, it is a special offer."
224,Answer the following Multiple choice question :  Question : Standing offer means Option A : A.Offer allowed to remain open for acceptance over a period of times Option B : B.Offer made to the public in general Option C : C.When the offeree offers to qualified acceptance of the offer Option D : D.Offer made to a definite person Correct Ans :  a Explanation : A standing offer is an offer that remains open for acceptance over a specified period.
225,"Answer the following Multiple choice question :  Question : When the offeree offers to qualified acceptance of the offer subject to modifications and variations he is said to have made a Option A : A.Standing, open or continuing offer Option B : B.Counter offer Option C : C.Cross offer Option D : D.Special offer Correct Ans :  b Explanation : When the offeree introduces modifications or variations to the original offer, it becomes a counteroffer."
226,"Answer the following Multiple choice question :  Question : What is legal terminology for the doing or not doing of something which the promisor desires to be done or not done? Option A : A.Desires Option B : B.Wishes Option C : C.Considerations Option D : D.Promise Correct Ans :  c Explanation : The legal terminology for the doing or not doing of something that the promisor desires to be done or not done is ""Consideration."" Consideration is a fundamental element in the formation of a contract. It refers to something of value exchanged between the parties to the contract, typically involving a promise to do or not do something in exchange for something in return. Consideration is essential to make a contract legally binding."
227,"Answer the following Multiple choice question :  Question : Can a person who is usually of unsound, but occasionally of sound mind, make a contract? Option A : A.Yes, he can always make a contract Option B : B.Yes, but only when he is sound mind Option C : C.No, he cannot make contract Option D : D.Can’t be determined Correct Ans :  b Explanation : A person who is usually of unsound mind can make a contract during the periods when they are of sound mind."
228,"Answer the following Multiple choice question :  Question : A and B both believe that a particular kind of rice is being sold in themarket@Rs.3000 per quintel and A sells rice of that kind to B @3000/quintel. But in fact, the market price was Rs.4000, the contract is Option A : A. Valid Option B : B. Void Option C : C. Voidable Option D : D. Illegal Correct Ans :  a Explanation : The contract is valid because both parties were under a mutual mistake about the market price, and the contract was formed based on their shared belief."
229,"Answer the following Multiple choice question :  Question : A sells the goodwill of his business to B and agrees with him to refrain from carrying on a similar business within specified local limits. This contract is Option A : A. Valid Option B : B. Void Option C : C. Voidable Option D : D. Illegal Correct Ans :  a Explanation : Such a contract is valid, as it is a reasonable restraint on trade and is designed to protect the goodwill of the business."
